Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/Iteration,Diagnostics/SamplerIteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumUpdates,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Diagnostics/StepsPerSecond,Diagnostics/NonEvalSamplesPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/OptThrottle,Traj_Infos/Length,Traj_Infos/Return,Traj_Infos/NonzeroRewards,Traj_Infos/DiscountedReturn,Traj_Infos/reachv1_episode_success,Traj_Infos/reachv1_episode_success_traj_sum,Traj_Infos/reachv1_is_live,Traj_Infos/reachv1_is_live_traj_sum,Traj_Infos/pushv1_episode_success,Traj_Infos/pushv1_episode_success_traj_sum,Traj_Infos/pushv1_is_live,Traj_Infos/pushv1_is_live_traj_sum,Traj_Infos/pickplacev1_episode_success,Traj_Infos/pickplacev1_episode_success_traj_sum,Traj_Infos/pickplacev1_is_live,Traj_Infos/pickplacev1_is_live_traj_sum,Traj_Infos/dooropenv1_episode_success,Traj_Infos/dooropenv1_episode_success_traj_sum,Traj_Infos/dooropenv1_is_live,Traj_Infos/dooropenv1_is_live_traj_sum,Traj_Infos/drawerclosev1_episode_success,Traj_Infos/drawerclosev1_episode_success_traj_sum,Traj_Infos/drawerclosev1_is_live,Traj_Infos/drawerclosev1_is_live_traj_sum,Traj_Infos/buttonpresstopdownv1_episode_success,Traj_Infos/buttonpresstopdownv1_episode_success_traj_sum,Traj_Infos/buttonpresstopdownv1_is_live,Traj_Infos/buttonpresstopdownv1_is_live_traj_sum,Traj_Infos/windowopenv1_episode_success,Traj_Infos/windowopenv1_episode_success_traj_sum,Traj_Infos/windowopenv1_is_live,Traj_Infos/windowopenv1_is_live_traj_sum,Traj_Infos/basketballv1_episode_success,Traj_Infos/basketballv1_episode_success_traj_sum,Traj_Infos/basketballv1_is_live,Traj_Infos/basketballv1_is_live_traj_sum,Traj_Infos/draweropenv1_episode_success,Traj_Infos/draweropenv1_episode_success_traj_sum,Traj_Infos/draweropenv1_is_live,Traj_Infos/draweropenv1_is_live_traj_sum,Traj_Infos/doorclosev1_episode_success,Traj_Infos/doorclosev1_episode_success_traj_sum,Traj_Infos/doorclosev1_is_live,Traj_Infos/doorclosev1_is_live_traj_sum,Traj_Infos/shelfplacev1_episode_success,Traj_Infos/shelfplacev1_episode_success_traj_sum,Traj_Infos/shelfplacev1_is_live,Traj_Infos/shelfplacev1_is_live_traj_sum,Traj_Infos/sweepintov1_episode_success,Traj_Infos/sweepintov1_episode_success_traj_sum,Traj_Infos/sweepintov1_is_live,Traj_Infos/sweepintov1_is_live_traj_sum,Traj_Infos/leverpullv1_episode_success,Traj_Infos/leverpullv1_episode_success_traj_sum,Traj_Infos/leverpullv1_is_live,Traj_Infos/leverpullv1_is_live_traj_sum,Traj_Infos/episode_success,Traj_Infos/episode_success_traj_sum,Traj_Infos/training_episode_success,Traj_Infos/training_episode_success_traj_sum,Traj_Infos/testing_episode_success,Traj_Infos/testing_episode_success_traj_sum,Traj_Infos/demonstration_success,Traj_Infos/demonstration_success_traj_sum,Traj_Infos/timeout,Traj_Infos/timeout_traj_sum,lossAverage,lossStd,lossMedian,lossMin,lossMax,perplexityAverage,perplexityStd,perplexityMedian,perplexityMin,perplexityMax,advantageAverage,advantageStd,advantageMedian,advantageMin,advantageMax,normalized_returnAverage,normalized_returnStd,normalized_returnMedian,normalized_returnMin,normalized_returnMax,etaAverage,etaStd,etaMedian,etaMin,etaMax,eta_lossAverage,eta_lossStd,eta_lossMedian,eta_lossMin,eta_lossMax,pi_lossAverage,pi_lossStd,pi_lossMedian,pi_lossMin,pi_lossMax,value_lossAverage,value_lossStd,value_lossMedian,value_lossMin,value_lossMax,alphaAverage,alphaStd,alphaMedian,alphaMin,alphaMax,alpha_lossAverage,alpha_lossStd,alpha_lossMedian,alpha_lossMin,alpha_lossMax,policy_klAverage,policy_klStd,policy_klMedian,policy_klMin,policy_klMax,entropyAverage,entropyStd,entropyMedian,entropyMin,entropyMax,alpha_muAverage,alpha_muStd,alpha_muMedian,alpha_muMin,alpha_muMax,alpha_mu_lossAverage,alpha_mu_lossStd,alpha_mu_lossMedian,alpha_mu_lossMin,alpha_mu_lossMax,alpha_sigmaAverage,alpha_sigmaStd,alpha_sigmaMedian,alpha_sigmaMin,alpha_sigmaMax,alpha_sigma_lossAverage,alpha_sigma_lossStd,alpha_sigma_lossMedian,alpha_sigma_lossMin,alpha_sigma_lossMax,mu_klAverage,mu_klStd,mu_klMedian,mu_klMin,mu_klMax,sigma_klAverage,sigma_klStd,sigma_klMedian,sigma_klMin,sigma_klMax,pi_muAverage,pi_muStd,pi_muMedian,pi_muMin,pi_muMax,pi_log_stdAverage,pi_log_stdStd,pi_log_stdMedian,pi_log_stdMin,pi_log_stdMax
84830,360,42.5282678604126,0,0,92.4107940196991,0,0,0.0,0.0,nan,nan,nan,1.0,235.63888888888889,1632.0323114701391,220.41944444444445,733.5163512491035,0.0,0.0,1.0,232.66666666666666,0.0,0.0,1.0,234.71875,0.0,0.0,1.0,241.33333333333334,0.0,0.0,1.0,231.71428571428572,0.0,0.0,1.0,234.25925925925927,0.0,0.0,1.0,233.9,0.0,0.0,1.0,233.88888888888889,0.0,0.0,1.0,245.33333333333334,0.0,0.0,1.0,234.37037037037038,0.0,0.0,1.0,232.8139534883721,0.0,0.0,1.0,242.48275862068965,0.0,0.0,1.0,235.67857142857142,0.0,0.0,1.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
84842,360,85.34014105796814,25,288,2293.3507940769196,5160960,2200,3.492063492063492,3.492063492063492,2344.8890019109217,2391.4057445281596,0.9995729097307532,0.1302352631380054,235.67222222222222,13786.146280806382,224.98333333333332,5836.616918421099,0.07407407407407407,7.10185185185186,1.0,232.16666666666666,0.0,0.0,1.0,235.1,0.0,0.0,1.0,241.42857142857142,0.0,0.0,1.0,232.03571428571428,0.0,0.0,1.0,234.10714285714286,0.0,0.0,1.0,234.05,0.0,0.0,1.0,233.85,0.0,0.0,1.0,246.33333333333334,0.0,0.0,1.0,234.03571428571428,0.0,0.0,1.0,232.9318181818182,0.0,0.0,1.0,243.10344827586206,0.0,0.0,1.0,235.5185185185185,0.0,0.0,1.0,234.0,0.007407407407407407,0.710185185185186,0.01282051282051282,1.229166666666668,0.0,0.0,0.0,0.0,0.0,0.0,2696.564105963707,35465.38965948895,102.02705001831055,13.912995338439941,1041185.6875,nan,nan,nan,nan,nan,1.5697032,69.4062,-1.5292637,-118.349754,33080.17,-0.69575053,72.393364,-3.3429887,-75.93835,33080.23,1.6200620579719542,0.34697547918278915,1.6394978165626526,1.0,2.2003908157348633,32.264522244713525,5.528798239537449,33.564910888671875,3.0064244270324707,38.98246765136719,4.253164170980454,0.25861238930046054,4.235779523849487,3.1814236640930176,6.4327216148376465,2660.036187147444,35464.97363899137,64.153564453125,5.3793044090271,1041142.875,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.3633121215755288,0.19287802760863382,1.4749906063079834,0.964923083782196,1.5267319679260254,0.010224840802944857,0.0014465851206145381,0.011062428820878267,0.007236920762807131,0.011450489051640034,1.5027974142811515,0.22846243665368657,1.5544092655181885,0.9994955062866211,1.8304073810577393,-0.004369287791239664,0.0034766806286424027,-0.0035074488259851933,-0.043201979249715805,9.247797606803942e-06,0.01940673466225142,0.017729961446421628,0.01364565547555685,2.4996040792757412e-06,0.21821165084838867,0.004379287654299963,0.003476680578601681,0.0035174486692994833,7.522040732510504e-07,0.04321197792887688,0.0036509972690625795,0.0343065139492746,0.006000518565997481,-0.12603972852230072,0.1408480852842331,0.7010702857104215,0.023175614324889578,0.703805148601532,0.6137656569480896,0.7892773151397705
84783,360,128.54288244247437,49,563,4397.954241991043,10088960,4600,3.9896103896103896,3.7350926160872877,2341.533748262244,2390.607505076644,1.140357344932911,0.14829560800374644,235.50833333333333,14653.96230271023,225.0,5168.54971080535,0.037037037037037035,1.4259259259259247,1.0,232.02777777777777,0.01075268817204301,0.8172043010752681,1.0,234.96774193548387,0.0,0.0,1.0,241.60714285714286,0.0,0.0,1.0,231.78571428571428,0.0,0.0,1.0,233.71428571428572,0.0,0.0,1.0,233.95,0.0,0.0,1.0,234.0,0.0,0.0,1.0,244.16666666666666,0.0,0.0,1.0,234.21428571428572,0.0,0.0,1.0,233.0,0.0,0.0,1.0,243.53571428571428,0.03571428571428571,2.7142857142857117,1.0,235.07142857142858,0.0,0.0,1.0,234.0,0.007407407407407407,0.42407407407407366,0.007974481658692184,0.36682615629984017,0.006622516556291391,0.5033112582781453,0.0,0.0,0.0,0.0,84.40155643224716,342.7356632588465,28.91298484802246,5.622833251953125,7324.6240234375,nan,nan,nan,nan,nan,0.00047074232,10.558398,-0.4980821,-19.745178,1674.1073,-0.80375075,12.073546,-0.5731702,-26.215546,1677.8577,2.7367747237284976,0.2890712138751408,2.753635287284851,2.20090651512146,3.1961936950683594,16.84277029708028,11.092062271893223,18.929133415222168,0.49496376514434814,34.03732681274414,4.5144172702233,0.30043962715474287,4.499170541763306,2.787461996078491,6.710692405700684,63.03308016985655,340.35440263427,5.20538854598999,0.6465449929237366,7290.7236328125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.502248648206393,0.06848364342764819,1.5309410095214844,1.3074077367782593,1.5669214725494385,0.011266864663145195,0.0005136273215867038,0.011482058092951775,0.009805559180676937,0.011751910671591759,2.2158594711124895,0.20465612108468467,2.216045618057251,1.8307392597198486,2.5250742435455322,-0.002095615130723066,0.0010634061018924492,-0.001894053304567933,-0.007570664864033461,-0.0005035594804212451,0.00665788155097592,0.003038645264039535,0.005916708614677191,0.002295346697792411,0.025350382551550865,0.002105615090864982,0.0010634060699463157,0.001904053264297545,0.0005135594983585179,0.007580664474517107,-0.013247331864067746,0.015382759753332248,-0.013088842388242483,-0.059307921677827835,0.041018735617399216,0.7468837387859821,0.014530629358631173,0.7453021109104156,0.7094587683677673,0.7860236167907715
85202,362,172.0461552143097,74,848,6583.527403831482,15196160,7100,4.010025062656641,3.8274932614555257,2336.778328527471,2384.2359327597237,1.143864704988776,0.14791230396028532,235.3646408839779,13093.878079518305,225.0,4743.572849889083,0.047619047619047616,4.33333333333333,1.0,232.2,0.0,0.0,1.0,234.59375,0.0,0.0,1.0,241.4516129032258,0.0,0.0,1.0,232.03846153846155,0.8641975308641975,71.358024691358,1.0,228.25925925925927,0.0,0.0,1.0,233.66666666666666,0.0,0.0,1.0,234.25,0.0,0.0,1.0,244.0,0.0,0.0,1.0,234.04,0.0,0.0,1.0,232.86046511627907,0.0,0.0,1.0,243.65625,0.0,0.0,1.0,235.53571428571428,0.0,0.0,1.0,234.0,0.06906077348066299,5.741252302025781,0.11904761904761904,9.896825396825394,0.0,0.0,0.0,0.0,0.0,0.0,179.9154697271347,2033.016372030003,14.00440788269043,5.171679496765137,87945.4140625,nan,nan,nan,nan,nan,0.07583606,17.114298,-0.35978872,-14.951045,5967.265,0.26283568,17.401003,-0.23103032,-11.690829,5965.398,3.6403547853469846,0.2572744861104589,3.640529751777649,3.1964869499206543,4.080750465393066,10.901963730704784,9.626400512813776,6.963788270950317,0.44684961438179016,28.702022552490234,4.36921771812439,0.2531308942404977,4.370877504348755,3.5864882469177246,7.390333652496338,164.63737464962006,2031.8743065850838,2.314985513687134,0.3417268693447113,87915.3828125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9180223785400391,0.19084876599672004,0.9014425873756409,0.5186116099357605,1.3070127964019775,0.006885167667549104,0.0014313657145688529,0.006760819815099239,0.0038895870093256235,0.00980259571224451,2.8770132544517515,0.22682686292173307,2.8869858980178833,2.525216579437256,3.221574544906616,-0.0009123406476865056,0.00046211511072132905,-0.0008113004732877016,-0.005259643774479628,-0.00018905413162428886,0.004675333917094395,0.0027079100945718634,0.004009882686659694,0.0010918695479631424,0.031618330627679825,0.0009223406362754759,0.00046211510717577317,0.0008213003748096526,0.00019905414956156164,0.005269644316285849,0.0363814282156427,0.023927316508738278,0.03414959833025932,-0.009492326527833939,0.09306187182664871,0.722508749127388,0.0067261463457055195,0.7232518792152405,0.6970681548118591,0.7465757131576538
85068,361,215.1416027545929,98,1122,8686.082533836365,20106240,9500,4.004171011470282,3.870639164756812,2335.2919169299485,2384.1593218877692,1.1414682857778033,0.14710916522091277,235.6454293628809,15028.425711001262,224.96952908587258,5888.974381978908,0.12037037037037036,10.537037037037031,1.0,231.63888888888889,0.0,0.0,1.0,235.21875,0.0,0.0,1.0,241.5,0.0,0.0,1.0,232.03571428571428,0.32142857142857145,2.1547619047619078,1.0,233.78571428571428,0.0,0.0,1.0,233.6315789473684,0.0,0.0,1.0,233.85,0.0,0.0,1.0,245.55555555555554,0.0,0.0,1.0,233.92857142857142,0.0,0.0,1.0,233.0,0.0,0.0,1.0,243.2,0.0,0.0,1.0,235.7037037037037,0.0,0.0,1.0,234.0,0.036934441366574325,1.217913204062788,0.0631911532385466,2.0837282780410735,0.0,0.0,0.0,0.0,0.0,0.0,48.62095631480217,151.03285168850212,15.68324613571167,5.4836812019348145,3466.88818359375,nan,nan,nan,nan,nan,0.014074457,7.7349806,-0.16920558,-14.819697,1200.7913,0.88739294,8.322719,-0.380809,-5.9692206,1207.4719,4.51898435095946,0.2479676410346438,4.52855920791626,4.081125259399414,4.938029766082764,10.452489015087485,8.580545249779181,8.277587890625,0.5380730032920837,27.444643020629883,4.433681305348873,0.217447410583909,4.427464485168457,3.5658791065216064,5.826253890991211,33.73386874265969,148.2301716693031,3.0772136449813843,0.3564445674419403,3435.145751953125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11753831238157256,0.16216689217467614,9.99999993922529e-09,9.99999993922529e-09,0.5180197954177856,0.000881537321530119,0.0012162516564426528,7.500000620552782e-11,7.499998538884611e-11,0.003885149722918868,3.5421279033025104,0.18000185579949993,3.571432113647461,3.221773624420166,3.8391876220703125,-0.000431155994792789,0.0002816406040290747,-0.00037242306279949844,-0.003156122285872698,-0.00010304836905561388,0.0031182052405104815,0.0015807589499689022,0.0026308908127248287,0.0010398224694654346,0.014270336367189884,0.00044115600121585885,0.00028164059558243644,0.00038242309528868645,0.0001130483578890562,0.0031661223620176315,0.10847827097401024,0.014295306260962226,0.10941729694604874,0.06346976011991501,0.14088429510593414,0.737534428909421,0.011287011111964023,0.7409500181674957,0.712821364402771,0.7580519914627075
84670,360,258.4551086425781,122,1397,10810.496332406998,25034240,11900,3.9896103896103896,3.8940586972083033,2319.6987344535705,2367.978139894233,1.1297234096364792,0.14609385364591249,235.19444444444446,15096.051946094445,225.0,5665.507225232332,0.1111111111111111,8.44444444444444,1.0,231.75,0.0,0.0,1.0,234.51612903225808,0.0,0.0,1.0,241.76666666666668,0.0,0.0,1.0,231.85714285714286,0.9404761904761905,70.5833333333333,1.0,228.32142857142858,0.0,0.0,1.0,234.2,0.0,0.0,1.0,234.05,0.0,0.0,1.0,244.47368421052633,0.0,0.0,1.0,234.17857142857142,0.0,0.0,1.0,232.95238095238096,0.0,0.0,1.0,244.11111111111111,0.0,0.0,1.0,235.53571428571428,0.0,0.0,1.0,234.0,0.08425925925925926,6.334259259259256,0.1430817610062893,10.756289308176095,0.0,0.0,0.0,0.0,0.0,0.0,18.21709474384785,29.674699768356653,9.921695709228516,5.400788307189941,651.5426025390625,nan,nan,nan,nan,nan,0.0005505923,3.4015715,-0.0817883,-8.668911,474.51605,0.30141917,3.9537187,-0.5423486,-5.065585,473.83307,5.297580667734146,0.19543522608204314,5.319776773452759,4.938287258148193,5.61014986038208,7.203420544043183,6.862999285737695,3.3357889652252197,0.649511992931366,23.787736892700195,4.507680333753427,0.152311933773929,4.511108875274658,3.696038246154785,5.37856388092041,6.505951845080902,26.784032800898604,1.87578946352005,0.19559791684150696,627.2186889648438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.99999993922529e-09,0.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,7.499999971187962e-11,4.416153831454187e-18,7.499999926663392e-11,7.499998538884611e-11,7.500001314442173e-11,4.199157373408476,0.21687315291944698,4.19284725189209,3.8393983840942383,4.575730800628662,-0.00024107556043115135,7.736198826115152e-05,-0.00022437913139583543,-0.0006792863132432103,-0.00010678696708055213,0.0023119134191074407,0.0008241981861953293,0.0021863178117200732,0.000857864273712039,0.005930980667471886,0.00025107556996772473,7.736199126033627e-05,0.0002343791420571506,0.00011678696318995208,0.0006892863311804831,0.16669819785282017,0.011544384272245375,0.16798567026853561,0.1293778121471405,0.18969641625881195,0.7537749070425829,0.0038131357166901044,0.7539235651493073,0.7431620955467224,0.7671047449111938
84840,360,302.0603733062744,147,1682,13018.056611776352,30141440,14400,4.010025062656641,3.913708170545269,2313.5042099321527,2360.1229994583246,1.1324719072741192,0.1461161819158426,235.66666666666666,16668.36485679226,225.0,6341.995514816902,0.2,15.199999999999994,1.0,231.6,0.0,0.0,1.0,234.4375,0.0,0.0,1.0,241.48387096774192,0.0,0.0,1.0,231.92857142857142,0.2962962962962963,0.2962962962962963,1.0,233.96296296296296,0.0,0.0,1.0,233.94444444444446,0.0,0.0,1.0,234.2,0.0,0.0,1.0,245.0,0.0,0.0,1.0,233.46428571428572,0.0,0.0,1.0,233.02439024390245,0.0,0.0,1.0,243.6,0.0,0.0,1.0,235.5185185185185,0.0,0.0,1.0,234.0,0.041666666666666664,1.4999999999999991,0.07109004739336493,2.559241706161136,0.0,0.0,0.0,0.0,0.0,0.0,13.905455166625977,74.93941971442479,7.303415775299072,5.290121078491211,1642.2720947265625,nan,nan,nan,nan,nan,0.005000189,3.1936634,-0.06540108,-24.031824,1260.4573,0.09731702,3.5757246,-0.48296,-4.8739367,1258.8073,5.862201925086975,0.1273024305012313,5.873822450637817,5.6104350090026855,6.030248165130615,3.679564253282547,4.019990717453917,1.7344709038734436,0.7042279243469238,19.451723098754883,4.466679562473297,0.10271091025202524,4.471057653427124,3.850581407546997,5.147695064544678,5.759160290613771,74.17958578085477,1.0840368866920471,0.11357814073562622,1624.1944580078125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9.99999993922529e-09,0.0,9.99999993922529e-09,9.99999993922529e-09,9.99999993922529e-09,7.499999973570315e-11,4.298924728281885e-18,7.499999926663392e-11,7.499999232774002e-11,7.500001314442173e-11,5.129200407028199,0.28291520424702676,5.21139121055603,4.5760273933410645,5.49086332321167,-0.00022506742718978785,0.00013023539887843988,-0.00019722718570847064,-0.0009002339211292565,-5.003873593523167e-05,0.002146908498206176,0.0010377449598135851,0.0019447632948867977,0.0006776060326956213,0.007078385446220636,0.00023506743368925526,0.00013023540141789404,0.0002072271890938282,6.003873568261042e-05,0.0009102339390665293,0.18769034243822097,0.006838451599252502,0.1878664791584015,0.16446782648563385,0.20353680849075317,0.7467382845401764,0.0038557629010808553,0.7458993196487427,0.73615562915802,0.7594608068466187
